kk	username	date	retweets	favorites	text	geo	mentions	hashtags	tid	LINK
0	85Cristina	2017-08-04 11:38	0	0	Y para darte de baja tienes k mandar unos 75 correos para k t la den...				8,93405730165977E+017	https://twitter.com/85Cristina/status/893405730165977089
0	abelino01	2017-08-03 20:30	2	0	@vertiseguros Para que el seguro nos cubra los daños por incendió del cuadro eléctrico de mi casa tenemos que salir por las noticias?		@vertiseguros		8,93177270130561E+017	https://twitter.com/abelino01/status/893177270130561025
0	abelino01	2017-08-04 11:38	0	0	Que gentuza!!				8,93405845861651E+017	https://twitter.com/abelino01/status/893405845861650432
0	albaalegree	2017-08-17 03:41	0	1	"He intentenyado leer ""tarifa web de verti "" y he sido incapaz de pronunciarlo y jaja mi padre sabe que voy mal"				8,97996688719204E+017	https://twitter.com/albaalegree/status/897996688719204352
0	antoniajbernal	2017-08-04 14:05	0	0	Lo dudo @abelino01 una semana a +40°, sin luz y con la abuela desesperada por volver a su casa..yo ya no espero nada de @vertiseguros		@abelino01 @vertiseguros		8,93442701722571E+017	https://twitter.com/antoniajbernal/status/893442701722570752
0	antoniajbernal	2017-08-04 14:08	0	0	A lo mejor si se quema la casa entera y muere alguien, entonces si que hubieran respondido que asco de gente.				8,93443541527089E+017	https://twitter.com/antoniajbernal/status/893443541527089152
0	antoniajbernal	2017-08-04 14:11	0	0	Eso si,una familia grande,con 5 polizas de seguro con ellos,a los que desde ahora van a engañar otros,ellos no.Queda el derecho al pataleo.				8,93444299563598E+017	https://twitter.com/antoniajbernal/status/893444299563597824
0	antoniajbernal	2017-08-04 14:15	0	0	Claro, se lo montan mejor los que tienen un seguro con otra compañía, sois lo peor del mercado. #elpeorsegurodehogar #quenoteengañen			#elpeorsegurodehogar #quenoteenga	8,93445395396911E+017	https://twitter.com/antoniajbernal/status/893445395396911104
0	antoniajbernal	2017-08-04 14:18	0	0	Venga ya!! Una semana han tenido a mi madre, con 70 años, a 40°, fuera de su casa, y sin respuesta. Y tener que ver anuncios como este...				8,93446120290091E+017	https://twitter.com/antoniajbernal/status/893446120290091012
0	Antonianj	2017-08-10 13:38	0	0	RAFA, déjate de Verti y vente a una buena compañía con un mejor agente				8,95610185733091E+017	https://twitter.com/Antonianj/status/895610185733091332
0	apk_rules	2017-08-08 19:31	0	0	Verti Seguros APK #android http:// ift.tt/2vBiYER			#android	8,94974383810376E+017	https://twitter.com/apk_rules/status/894974383810375681
0	argentobcn46	2017-08-08 13:25	0	0	sigo esperando alguna repuesta,es una verguenza como tratais a los clientes #lobaratosalecaro #veranosinmoto			#lobaratosalecaro #veranosinmoto	8,94882236201173E+017	https://twitter.com/argentobcn46/status/894882236201172992
0	Cholloterapia	2017-08-11 18:25	0	0	Descuento de 25€ en todas las cuotas de tu seguro verti si lo contratas online e introduces este código: N102896H06120D verti .es				8,96044834426937E+017	https://twitter.com/Cholloterapia/status/896044834426937345
0	DaniOzark	2017-08-15 16:52	0	1	El anuncio de @vertiseguros en @SpotifySpain pic.twitter.com/JkHTre3jFJ		@vertiseguros @SpotifySpain		8,97471067484246E+017	https://twitter.com/DaniOzark/status/897471067484246016
0	FerAguilarTamez	2017-08-01 11:03	0	0	Nunca podré consultar online el estado de mi siniestro vertiseguros ? Lloro al escuchar eso de ahorrar tiempo y dinero a través de la web				8,9230986790144E+017	https://twitter.com/FerAguilarTamez/status/892309867901440000
0	freezerito	2017-08-05 19:50	0	0	Vertí una lágrima porque te estoy extrañando Aún estoy bien para sonreír Chica, ahora pienso en ti todos los días... http:// fb.me/7U5v6IYMs				8,93892013753598E+017	https://twitter.com/freezerito/status/893892013753597955username
0	Iago_Alvarez	2017-08-16 16:11	0	0	"El anuncio de Verti en Spotify que empieza gritando ""Güar a fiiilis... Plis biliiibis..."" es lo peor que he visto como publicidad en años."				8,97823033351705E+017	https://twitter.com/Iago_Alvarez/status/897823033351704576
