username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
vertiseguros|2017-03-28 13:08|0|0|"¿Utilizas la cabeza solo para llevar sombrero? Mejor #UtilizaLaCabeza para contratar tu seguro con Tarifa Web de Verti ¡y ahorra! pic.twitter.com/gI6s7I1dQW"|||#UtilizaLaCabeza|"846680272829530112"|https://twitter.com/vertiseguros/status/846680272829530112
EduOrozco82|2017-03-21 14:56|0|0|"@mossos @vertiseguros Verti me dice que para asegurar mi moto tengo que ir sin seguro al taller, y tengo 15km y no me dan alternativa.....?"||@mossos @vertiseguros||"844186001652310020"|https://twitter.com/EduOrozco82/status/844186001652310020
Perturasoh|2017-03-15 16:23|1|2|"todos mis amigos tienen el seguro del coche en verti es barata"||||"842033610072940545"|https://twitter.com/Perturasoh/status/842033610072940545
albertogv300|2017-02-28 21:52|0|0|"Código amigo Verti para tener descuento en el seguro del coche N104989K08699V"||||"836680537880334337"|https://twitter.com/albertogv300/status/836680537880334337
coralia36|2017-02-28 16:44|0|0|"@vertiseguro #UtilizaLaCabeza escucho David Bisbal 100%"||@vertiseguro|#UtilizaLaCabeza|"836603086097559553"|https://twitter.com/coralia36/status/836603086097559553
vertiseguros|2017-02-15 13:52|1|1|"Si tu coche tiene menos de un año de antigüedad #UtilizaLaCabeza y ahorra en el seguro de tu coche con Verti . http:// bit.ly/2kS7jvf pic.twitter.com/ljmF0ITRNh"|||#UtilizaLaCabeza|"831848686061776896"|https://twitter.com/vertiseguros/status/831848686061776896
angelica_s23|2017-02-15 01:19|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// htl.li/5NQT509yg7W"||||"831659259351949313"|https://twitter.com/angelica_s23/status/831659259351949313
LaMildredP|2017-02-15 01:19|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// owl.li/y7BP509yfPd"||||"831659229157195777"|https://twitter.com/LaMildredP/status/831659229157195777
SweetYadira|2017-02-15 01:19|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// ht.ly/BdYw509yfzw"||||"831659171275735042"|https://twitter.com/SweetYadira/status/831659171275735042
Cristinabuenav|2017-02-15 01:18|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// ht.ly/hkbD509yeE3"||||"831658873190744065"|https://twitter.com/Cristinabuenav/status/831658873190744065
betoestreya|2017-02-15 01:17|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// owl.li/rwoF509yde1"||||"831658614578360320"|https://twitter.com/betoestreya/status/831658614578360320
Irerierendirala|2017-02-15 01:17|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// owl.li/xvRv509ydja"||||"831658609247449088"|https://twitter.com/Irerierendirala/status/831658609247449088
sarahisarahi71|2017-02-15 01:05|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// ow.ly/85gS509ycQk"||||"831655605773488130"|https://twitter.com/sarahisarahi71/status/831655605773488130
Edgarnicolasnux|2017-02-15 01:05|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// owl.li/hRpr509ybUd"||||"831655584902574082"|https://twitter.com/Edgarnicolasnux/status/831655584902574082
LaSexyVaguita|2017-02-15 01:05|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// ht.ly/oUN2509ycW3"||||"831655545992011776"|https://twitter.com/LaSexyVaguita/status/831655545992011776
FernandoCueto5|2017-02-15 01:05|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// owl.li/tqnF509ycVr"||||"831655530078801920"|https://twitter.com/FernandoCueto5/status/831655530078801920
Miguelhernae|2017-02-15 01:04|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// ht.ly/1RzX509ycAE"||||"831655476068757504"|https://twitter.com/Miguelhernae/status/831655476068757504
TIDamian|2017-02-15 01:04|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// ow.ly/EJ2k509ycwU"||||"831655438554914819"|https://twitter.com/TIDamian/status/831655438554914819
jaimecataneda|2017-02-15 01:04|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// ow.ly/l2X1509ycoZ"||||"831655397400391681"|https://twitter.com/jaimecataneda/status/831655397400391681
FannyRiIVAS|2017-02-15 01:04|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// owl.li/vzBj509ycg8"||||"831655386134544385"|https://twitter.com/FannyRiIVAS/status/831655386134544385
Rafaelzamudia|2017-02-15 01:04|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// htl.li/GIAT509yblK"||||"831655270166167557"|https://twitter.com/Rafaelzamudia/status/831655270166167557
Gonzaloandreca|2017-02-15 01:03|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// ow.ly/fhnh509ybpY"||||"831655228801966081"|https://twitter.com/Gonzaloandreca/status/831655228801966081
Lauraisabelsan|2017-02-15 01:03|0|0|"Si recibiste uno de estos 11 finos regalos, seguro te aman - ¡Suertudotes! México, creo en ti, como en el vérti ... http:// ht.ly/usfE509yaXU"||||"831655172166254593"|https://twitter.com/Lauraisabelsan/status/831655172166254593
tiasonia2|2017-02-13 21:43|0|0|"@vertiseguro @vanesamartin_ Que gran ARTISTAZA!!!!! Dedos cruzados"||@vertiseguro @vanesamartin_||"831242443542634499"|https://twitter.com/tiasonia2/status/831242443542634499
ClavoEx|2017-02-11 18:07|3|3|"Un tio muy feo llega a una agencia a hacerse un seguro . Como se llama la peli? 'Un monstruo viene a Verti '"||||"830463282859409408"|https://twitter.com/ClavoEx/status/830463282859409408
Cholloterapia|2017-02-08 19:15|0|0|"25€ de descuento en la póliza de seguro VERTI Cupón: N102896H06120D Calcula tu precio Aquí: http://www. verti.es"||||"829393258774220802"|https://twitter.com/Cholloterapia/status/829393258774220802
Sisifo3xC|2017-01-30 14:52|0|0|"Cada gota de odio que vertí , era merecida. Muy seguro estoy de eso también y que me vengan con las historias que sean."||||"826065487100571649"|https://twitter.com/Sisifo3xC/status/826065487100571649
vertiseguros|2017-01-30 14:44|0|0|"Con la Tarifa Web de Verti ahorras calculando online tu seguro de coche: http:// bit.ly/2emSyvq #Utilizalacabeza pic.twitter.com/qk368HGuXK"|||#Utilizalacabeza|"826063555959070720"|https://twitter.com/vertiseguros/status/826063555959070720
DescuentosVerti|2017-01-24 01:43|0|0|"Hasta 50 EUROS € de descuento adicionales en la contratación de tu seguro con VERTI , aplicando el código amigo... http:// fb.me/89JMNfG0o"||||"823692668521902081"|https://twitter.com/DescuentosVerti/status/823692668521902081
DescuentosVerti|2017-01-24 01:41|0|0|"Hasta 50 EUROS € de descuento adicionales en la contratación de tu seguro con VERTI , aplicando el código amigo... http:// fb.me/175kCSkyF"||||"823692273481371648"|https://twitter.com/DescuentosVerti/status/823692273481371648
DescuentosVerti|2017-01-24 01:41|0|0|"Hasta 50 EUROS € de descuento adicionales en la contratación de tu seguro con VERTI , aplicando el código amigo... http:// fb.me/5MbRzUmxP"||||"823692156879704065"|https://twitter.com/DescuentosVerti/status/823692156879704065
DescuentosVerti|2017-01-24 01:40|0|0|"Hasta 50 EUROS € de descuento adicionales en la contratación de tu seguro con VERTI , aplicando el código amigo... http:// fb.me/1AzDZOYjP"||||"823691936435466240"|https://twitter.com/DescuentosVerti/status/823691936435466240
DescuentosVerti|2017-01-24 01:39|0|0|"Hasta 50 EUROS € de descuento adicionales en la contratación de tu seguro con VERTI , aplicando el código amigo... http:// fb.me/a9RBqXwMF"||||"823691761453301762"|https://twitter.com/DescuentosVerti/status/823691761453301762
