username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
o_verti|2014-04-28 21:01|0|0|"@JALobeira Y bien cuando admitiras errores ojo a ojo y darme perdon?"||@JALobeira||"460856345395093505"|https://twitter.com/o_verti/status/460856345395093505
Valeedeolivera|2014-04-28 05:27|0|0|"Vertí una lágrima porque te estoy extrañando Aún estoy bien para sonreír♪"||||"460621191720738817"|https://twitter.com/Valeedeolivera/status/460621191720738817
Guadacallejeros|2014-04-28 05:13|0|0|"Vertí una lágrima porque te estoy extrañando Aún estoy bien para sonreír"||||"460617734972125184"|https://twitter.com/Guadacallejeros/status/460617734972125184
keei_fernandez|2014-04-26 08:56|0|0|"recien me levanto.. bien .. voy a prender el verti y a seguir noneandoo"||||"459949140471193600"|https://twitter.com/keei_fernandez/status/459949140471193600
ViudaDeBatman|2014-04-26 00:44|1|0|"Vertí una lágrima porque te estoy extrañando, aún estoy bien para sonreír. Chica, ahora pienso en ti todos los días"||||"459825342300291074"|https://twitter.com/ViudaDeBatman/status/459825342300291074
BraiaanP|2014-04-25 05:16|0|0|"Vertí una lágrima porque te estoy extrañando, aún estoy bien para sonreír. Ahora pienso en ti todos los días."||||"459531487340011520"|https://twitter.com/BraiaanP/status/459531487340011520
faati_hernandez|2014-04-24 07:24|0|0|"Vertí una lágrima porque te estoy extrañando. Aún estoy bien para sonreír ..."||||"459201131038920704"|https://twitter.com/faati_hernandez/status/459201131038920704
AleeeRiivas|2014-04-23 03:41|0|2|"Vertí una lágrima porque te estoy extrañando Aún estoy bien para sonreír"||||"458782742751494144"|https://twitter.com/AleeeRiivas/status/458782742751494144
camilavedia_|2014-04-23 02:16|1|1|"Vertí una lágrima porque te estoy extrañando Aún estoy bien para sonreír"||||"458761299342929921"|https://twitter.com/camilavedia_/status/458761299342929921
AlwaysWithhLali|2014-04-23 00:30|0|0|"Vertí una lágrima porque estoy extrañándote aún estoy bien para sonreír, ME SE LA TRADUCCIÓN DE PATIENCE, SÍ"||||"458734602946113536"|https://twitter.com/AlwaysWithhLali/status/458734602946113536
MMiikaaAgustina|2014-04-22 07:43|0|0|"Vertí una lágrima porque te estoy extrañando, aún estoy bien para sonreír."||||"458481183337103360"|https://twitter.com/MMiikaaAgustina/status/458481183337103360
ThamyRi42|2014-04-22 04:16|0|0|"Vertí una lágrima porque te estoy extrañando Aún estoy bien para sonreír...♫ (PATIENCE) GNR"||||"458429007432646656"|https://twitter.com/ThamyRi42/status/458429007432646656
mattnikolas|2014-04-21 02:08|0|0|"Vertí una lágrima porque te estoy extrañando Aún estoy bien para sonreír Guns N' Roses - Patience: http:// youtu.be/ErvgV4P6Fzc vía @YouTube"||@YouTube||"458034519937789952"|https://twitter.com/mattnikolas/status/458034519937789952
ROCKANDROLLive|2014-04-20 11:52|0|0|"Vertí una lágrima porque te estoy extrañando Aún estoy bien para sonreír Chica, ahora pienso en tí todos los días... http:// fb.me/3xZVpHKdJ"||||"457819164674383872"|https://twitter.com/ROCKANDROLLive/status/457819164674383872
YameliRJ|2014-04-19 05:17|0|0|"Hoy vertí una lagrima extrañandote pero aun estoy bien para sonreír."||||"457357193588006912"|https://twitter.com/YameliRJ/status/457357193588006912
AnLoopez|2014-04-19 03:04|0|0|"Vertí una lágrima porque te estoy extrañando, Aún estoy bien para sonreír"||||"457323735159439360"|https://twitter.com/AnLoopez/status/457323735159439360
danirincon95|2014-04-18 23:06|0|0|"Vertí una lágrima porque te estoy extrañando Aún estoy bien para sonreír Chica, ahora pienso en tí todos los días♪♫"||||"457264014180220928"|https://twitter.com/danirincon95/status/457264014180220928
_Jgua_|2014-04-18 04:13|0|0|"Vertí una lágrima porque te estoy extrañando, aún estoy bien para sonreír."||||"456978798417043456"|https://twitter.com/_Jgua_/status/456978798417043456
_AiniiArriola|2014-04-17 20:54|0|0|"Verti una lagrima porque te estoy extrañando, aun estoy bien para sonreir .... #Patience"|||#Patience|"456868411638026240"|https://twitter.com/_AiniiArriola/status/456868411638026240
